V0000278412	メアリーさん、週末はたいてい何をしますか。	メアリーさん、しゅうまつはたいていなにをしますか 
V0000287776	さっきからあの人一人でにやにやして。怪しい。	声を出さないで薄笑いを浮かべるさま。
V0000287777	うなぎはぬるぬるしていてつかみにくい。	粘液状のものがついたりしていてすべりやすいさま。また、そのような感じで不快なさま。ぬらぬら。
V0000287778	はきはきと意見を言ってください。	話し方・態度・性格・行動などがはっきりしているさま。
V0000287779	飢えた人たちの写真にはっと息をのむ思いをした。	思いがけない出来事にびっくりするさま。
V0000287780	コンピューターは非常に複雑な仕事を瞬時にすることができる。	コンピューターはひじょうにふくざつなしごとをしゅんじにすることができる 
V0000287781	火はぱっと明るく燃え上がった。	すばやく動作をするさま。また、瞬時に物事が起こるさま。
V0000287782	学校から団体で行く人たちもいるが、ほとんどの人たちはばらばらに行く。	互いに別々になること。また、別々であるさま。
V0000287783	木の葉がはらはらと散った。	小さいものや軽いものが、静かに続けて落ちかかるさま。
V0000287784	ホテルの食堂でランチの最中に、ステラという若い女性がばったり倒れ、医師のスチュワートがそのからだを調べて言うことには・・・。	勢いよく倒れたり落ちたりするさま。ばたり。
V0000287785	私が出かけようとした際、旧友が訪ねてきた。	わたしはでかけようとしたさい、きゅうゆうがたずねてきた 
V0000287786	私は旧友に出会い、更に不思議な事に恩師に出会った。	わたしはきゅうゆうにであい、さらにふしぎなことにおんしにであった 
V0000287787	私は恩師の世話でこの仕事に就いた。	わたしはおんしのせわでこのしごとをついた 
V0000287788	駅前でばったり旧友に会った。	思いがけなく人に出会うさま。
V0000287789	思いがけず私達は空港で出くわした。	【おもいがけず】 予期しなかったのに。思いがけなく。
V0000287790	トムは車をピカピカの新車で買った。	真新しいさま。また、なりたてであるさま。
V0000287791	その車はワックスがかけられてピカピカしている。	つやがあって照り輝いているさま。
V0000287792	両親が昨晩ひそひそと話をしているのを聞いた。	他人に聞こえないように小声で話すさま。
V0000287793	その問題は我々の日常生活に密着している。	そのものだいはわれわれのにちじょうせいかつにみっちゃくしている 
V0000287794	今朝ひょっこり旧友に会った。	思いがけなくそのことが起きるさま。
V0000287795	作者がこの本の最後の章でひょっこり登場した人物に罪を着せました。	さくしゃがこのほんのさいごのしょうでひょっこりとうじょうしたじんぶつにつみをきせました 
V0000287796	父はついさきほど出かけた。	少し前。いましがた。先刻。
V0000287797	先刻承知。	せんこくしょうち 
V0000287798	巨大なタンカーがついに今し方出港した。	きょだいなタンカーがついにいましがたしゅっこうした 
V0000287799	今し方地面が揺れたのを感じましたか。	【いましがた】 ついさっき。たった今。
V0000287800	私がついさっき書いた詩を君に読んであげよう。	たった今。　今し方。
V0000287801	男は壁の隙間から覗いた。	おとこはかべのすきまからのぞいた 
V0000287802	北風が隙間からひゅーひゅー吹き込む。	強い風が連続して吹く音を表す語。
V0000287803	風が吹くたびに、桜の花びらが、ひらひらと舞い降りてました。	かぜがふくたびに、さくらのはなびらが、ひらひらとまいおりてました 
V0000287804	ヒラヒラと桜の花が舞っている。もうお花見の季節も終わりだな。	薄くて軽いものが揺れ動くさま。
V0000287805	泥棒はひらりと屋根から屋根へ飛び移った。	すばやく身をかわしたり飛び移ったりするさま。
V0000287806	どんな俳優も劇が始まる前にはびくびくするものだ。	絶えず恐れや不安を感じて落ち着かないでいるさま。
V0000287807	彼の重さでロープがぴんと張った。	ゆるみなく、まっすぐに張るさま。
V0000287808	毎日大食していると、ブクブク太り過ぎること間違えなし。	しまりなく太っているさま。
V0000287809	風邪には大食、熱には小食。	かぜにはたいしょく、ねつにはしょうしょく 
V0000287810	ワインの飲みすぎでふらふらになった。	揺れ動いて安定しないさま。
V0000287811	しゃべり出した時彼の両手はぶるぶる震えた。	寒さや恐怖などのために震えるさま。
V0000287812	日干し後の布団はふわふわしている。	柔らかくふくらんでいるさま。
V0000287813	部屋は香水の匂いでぷんぷんしていた。	へやはこうすいのにおいでぷんぷんしていた 
V0000287814	隣に座った男の人がウイスキーのにおいをプンプンとさせて、がまんできなかった。	強いにおいがしきりに鼻をつくさま。比喩的にも用いる。
V0000287815	その比喩的意味はもはや使われていない。	そのひゆてきいみはもはやつかわれていない 
V0000287816	この表現は日本語にはない英語の比喩表現として、私は大変気に入っています。	このひょうげんはにほんごにはないえいごのひゆひょうげんとして、わたしはたいへんきにいっています 
V0000287817	１年が過ぎ、彼の死体は塵と化した。	いちねんがすぎ、かれのしたいはちりとかした 
V0000287818	彼は借金を頼みに頭をペコペコ下げてやって来た。	頭をしきりに下げるさま。また、へつらうさま。へこへこ。
V0000287819	あなたは上役に諂わなくてもよい。	あなたはうわやくにへつらわなくてもよい 
V0000287820	彼は走り続けてついに完全にへとへとになった。	非常に疲れて力がすっかり抜けてしまうさま。
V0000287821	猫はぺろぺろと前足をなめている。	舌で物をなめまわすさま。
V0000287822	春の陽気はぽかぽか呼ばれる。	暖かく感じるさま。暖かくて気持ちのよいさま。
V0000287823	パイプから水がぽたぽた落ちているのが聞こえるでしょ。	液体などが続けて落ちるさま。
V0000287824	青空に雲がぽっかりと浮かんでいた。	軽く浮かんでいるさま。
V0000287825	彼女はぽっちゃりとしてきた。	ふっくらとして愛らしいさま。
V0000287826	彼は電話で初めて彼女の愛らしい声を聞いてすっかり彼女に惚れ込んでしまった。	かれはでんわではじめてかのじょのあいらしいこえをきいてすっかりかのじょにほれこんでしまった 
V0000287827	「どんなことでも直ぐに分かります、・・・ググれば」「ググれば？」	"「どんなことでもすぐにわかります、・・・ググれば」「ググれば？」 
V0000287828	その建物は内外ともぼろぼろになっている。	もろく崩れたり、砕けたりするさま。
V0000287829	女性は涙もろい。	【なみだもろい】 ちょっとしたことにも涙が出がちである。情にほだされやすい
V0000287830	情にほだされて思わず涙を流した。	じょうにほだされておもわずなみだをながした 
V0000287831	ぽつぽつと雨が降り始めた。	物事が少しずつ行われるさま。また、物事を少しずつゆっくり行うさま。
V0000287832	ぼつぼつ始めようか。	物事が勢いよくわき起こるさま。
V0000287833	彼に話し掛けられたときまごついてしまった。	かれははなしかけられたときもごついてしまった 
V0000287834	彼女は不注意な間違いにまごついて、わっと泣き出した。	急に声をあげて泣くさま。
V0000287835	まごまごしていないで、彼女に早く告白しなさい。	まごつくさま。うろたえるさま。
V0000287836	気候の突然の変化にうろたえるな。	不意を打たれ、驚いたり慌てたりして取り乱す。
V0000287837	彼はその悲報を取り乱さずに聞いた。	かれはそのひほうをとりみださずにきいた 
V0000287838	その男は、終身刑であると裁判官が判決を下した時、取り乱した。	そのおとこは、しゅうしんけいであるとさいばんかんがはんけつをおろしたとき、とりみだした 
V0000287839	ボブは酷く取り乱していて、現実と虚構の区別がほとんど出来なかった。	ボブはひどくとりみだしていて、げんじつときょこうのくべつがほとんどできなかった 
V0000287840	殺人の有罪宣告を受け、彼は終身刑を科せられた。	さつじんのゆうざいせんこくをうけ、かれはしゅうしんけいをかせられた 
V0000287841	あの赤ん坊はまるまるしていて健康的だ。	よく太っているさま。
V0000287842	彼女はご主人の態度にむかっときた。	急に怒り出すさま。
V0000287843	朝起きた時むかむかします。	吐き気がして気持ちの悪いさま。
V0000287844	私はむらむらとその本が買いたくなった。	抑えがたい感情や思いがわき起こるさま。
V0000287845	彼は英語の力がめきめきついてきた。	目に見えて、進歩・発展するさま。
V0000287846	その目茶苦茶な状態をいったいどうしたらいいのだ。	【めちゃくちゃ】 どうにもならないほどに壊れたり、混乱したりすること。めちゃめちゃ。
V0000287847	彼女の胸の内に野心の火がめらめらと燃えていた。	炎を立てて勢いよく燃え広がるさま。
V0000287848	「どーした、もじもじして」「あーいや、何かパンツのゴム切れちゃったみたいで」	遠慮や恥ずかしさなどのために、はっきりした態度がとれないさま、また、落ち着かないさま。
V0000287849	彼女は生まれた赤ん坊を見せたくてやきもきしていた。	あれこれと気をもんでいらいらするさま。
V0000287850	私たちの家は快適ですが、やっぱり前の家がなつかしい。	予測したとおりになるさま。案の定。
V0000287851	さいは麻酔でよたよたしていた。	足の動きがしっかりしていないさま。
V0000287852	彼は彼の几帳面さを自慢した。	かれはかれのきちょうめんさをじまんした 
V0000287853	誰でも大なり小なり自惚れはある。	だれでもだいなりしょうなりうぬぼれはある 
V0000287854	彼女は英語を話すのが一番うまいと自惚れている。	かのじょはえいごをはなすのがいちばんうまいとうぬぼれている 
V0000287855	大欲は無欲に似たり。	たいよくはむよくににたり 
V0000287856	しばしば彼は自分で行かざるをえなかった。	同じ事が何度も重なって行われるさま。たびたび。
V0000287857	私は彼がそのメロディーをトランペットで吹いているのをたびたび耳にした。	何度も繰り返し行われるさま。いくども。しばしば。
V0000287858	彼は父親にそっくりだと誰もが言っている。	非常によく似ているさま。
V0000287859	彼女は入ってからきっちりドアを閉めた。	隙間やずれがないさま。ぴったり。
V0000287860	私はきっちり３時間待った。	時間や数量に端数がないさま。きっかり。
V0000287861	８時きっかりに、自分の部屋で朝食を食べたいんだ。	時間・数量などが正確で過不足のないさま。かっきり。ちょうど。
V0000287862	距離で１００メートルといったらかっきり１００メートルである。	数量・時間などに、端数のないさま。ぴったり。きっかり。
V0000287863	暑かったので、彼女は汗びっしょりになりました。	ひどくぬれるさま。
V0000287864	がっちり組んで助け合わねばならない。	すきまなく組み合うさま。
V0000287865	これは掛けるのに大層頑丈な椅子だ。	これはかけるのにたいそうがんじょうないすだ 
V0000287866	この鞄は君が持っているのと同じほど頑丈そうに見える。	このかばんはきみがもっているのとおなじほどがんじょうそうにみえる 
V0000287867	彼は背が高く骨組みのがっちりした人だ。	引き締まっていて丈夫そうなさま。頑丈なさま。がっしり。
V0000287868	金融引き締めで金利が上昇するだろう。	きんゆうひきしめできんりがじょうしょうしゅるだろう 
V0000287869	がっしりした私の父の隣にいて、彼は小さく見えた。	物の構造や体格がしっかりしていて、力強く、また、簡単には壊れそうにないさま。がっちり。
V0000287870	社会構造はそれほど変わらない。	しゃかいこうぞうはそれほどかわらない 
V0000287871	この増加に加えて、世界の経済構造の変化があった。	このぞうかにくわえて、せかいのけいざいこうぞうのへんかがあった 
V0000287872	骨格たくましい体格なので彼は柔道家でとおっている。	こっかくたくましいたいかくなのでかれはじゅうどうかでとおっている 
V0000287873	当時はまだ彼はたくましい精神力だった。	からだが頑丈で、いかにも強そうに見える。
V0000287874	異様な光景が彼女の目に留った。	いようなこうけいがかのじょのめにとまった 
V0000287875	彼女はこってりした食べ物が好きだ。	味や色などが濃くて、しつこいさま。
V0000287876	こってり化粧した顔は異様である。	こってりけしょうしたかおはいようである 
V0000287877	彼女は髪を無造作に束ねている。	かのじょはかみをむぞうさにたばねている 
V0000287878	彼は、薪を束ねた。	かれは、まきをたばねた 
V0000287879	それをざっくりと各工程に割り振ったものです。	それをざっくりとかくこうていにわりふったものです 
V0000287880	登場人物がうまく割り振られていた。	とうじょうじんぶつがうまくわりふられている 
V0000287881	ジョンは抜け目がないので成功は間違いない。	ジョンはぬけめがないのでせいこうはまちがいない 
V0000287882	彼女にはちゃっかりしたところがある。	自分の利益のために抜け目なく振る舞うさま。
V0000287883	てっきりあなたが我々といっしょに来られるものと思っていました。	確かだと思っていた予想・推測が反対の結果となって現れた場合に用いる語。きっと。
V0000287884	彼はウイスキーをちょっぴり飲んだ。	分量や程度がわずかであるさま。ほんのすこし。
V0000287885	町が一面すっぽり雪をかぶった。	全体を余すところなく覆うさま。
V0000287886	それはでっぷり太った猫ですね。	太っていて恰幅(かっぷく)のよいさま。
V0000287887	京都には有名な古い建造物がたくさんある。	きょうとにはゆうめいなふるいけんぞうぶつがたくさんある 
V0000287888	これは私が見た中で一番どっしりとした建造物です。	いかにも重みのあるさま。ずっしり。
V0000287889	一晩水につかっていた着物はずっしり重たかった。	きわめて重いさま。また、重そうなさま。ずしり。
V0000287890	彼はいつもどっしりしている。	落ち着きがあって重々しいさま。
V0000287891	彼は群衆に向かって重々しく話しかけた。	かれはぐんしゅうにむかっておもおもしくはなしかけた 
V0000287892	彼の手はねっとりして気持ち悪かった。	とろりとしてねばりけのあるさま。また、ねばねばするさま。
V0000287893	コンピューターは、たとえ緩慢にせよ大きな変化を引き起こした。	コンピューターは、たとえかんまんにせよおおきいなへんかをひきおこした 
V0000287894	ジョンはのっそり起き上がった。	動作がのろいさま。また、行動が緩慢で、とらえどころがないさま。
V0000287895	商店街は平日ひっそりしている。	物音や人声がせず静かなさま。
V0000287896	私たちはその討論を争点となっている問題に限定すべきだ。	わたしたちはそのとうろんをそうてんとなっているもんだいにげんていすべきだ 
V0000287897	ここでは私は議論を、なぜ相撲の好きな外国人が多いか、に限定したい。	ここではわたしはぎろんを、なぜすもうのすきながいこくじんがおおいか、にげんていしたい 
V0000287898	私は五百円ぽっきりしか持っていない。	数量を表す語に付いて、ちょうどそれだけと限定する意を表す。
V0000287899	彼はぽっくり死にました。	人が突然に死ぬさま。
V0000287900	祖父は祖母がぽっくり逝ってから急に老け込みました。	そふはそぼがぽっくりいってからきゅうにふけこみました 
V0000287901	先生は学生にえいごみっしり教えた。	一つのことを十分に行うさま。みっちり。
V0000287902	彼女はむっつりとした表情を浮かべていた。	口数が少なく、愛想のないさま。
V0000287903	ご家庭でふっくらパンを作ってみませんか。	やわらかにふくらんでいるさま。ふっくり。
V0000287904	さしあたり大きな台風はこないだろう。	先のことはともかく、今のところ。今しばらくの間。当面。
V0000287905	ともかく我々はベストを尽くしたのだ。	とにかく。ともかくも。
V0000287906	何はともあれありがとう。	【なにはともあれ】 ほかの事はどうであろうとも。ともかく。
V0000287907	何はともあれ、大事にいたらなかったのは、不幸中の幸いであった。	なにはともあれ、だいじにいたらなかったのは、ふこうちゅうのさいわいであった 
V0000287908	だれにも死亡がなかったのは不幸中の幸いでした。	【ふこうちゅうのさいわい】 不幸な出来事の中でせめてもの救いとなること。
V0000287909	試験期日を照会してみる必要がある。	しけんきじつをしょうかいしてみるひつようがある 
V0000287910	お支払いの期日を二ヶ月間延長していただけませんでしょうか。	おしはらいのきじつをにかげつかんえんちょうしていただけませんでしょうか 
V0000287911	彼は取引先に照会状を書いた。	かれはとりひきさきにしょうかいじょうをかいた 
V0000287912	君を生かすも殺すも僕次第だ。	きみをいかすもころすもぼくしだいだ 
V0000287913	我々を生かそうとして彼は死んだ。	われわれをいかそうとしてかれはしんだ 
V0000287914	幾多、苦戦したのち、我々は勝利を収め、新政府を樹立することができた。	いくた、くせんしたのち、われわれはしょうりをおさめ、しんせいふをじゅりつすることができた 
V0000287915	彼は革製品の売買をしている。	かれはかわせいひんのばいばいをしている 
V0000287916	ディール市内と近辺の家屋の売買を仲介しています。	ディールしないときんぺんのかおくのばいばいをちゅうかいしています 
V0000287917	彼は経済学に相当な貢献をした。	【こうけん】 ある物事や社会のために役立つように尽力すること。
V0000287918	日本はそうすることによって、文化及び教育の面で貢献することが出来る。	にほんはそうすることによって、ぶんかおよびきょういくのめんでこうけんすることができる 
V0000287919	日常生活について言えば彼はとてもだらしない。	きちんとしていない。整っていない。
V0000287920	長くてだらしがないより短くて簡潔のほうがよい。	ながくてだらしがないよりみじかくてかんけつのほうがよい 
V0000287921	道はなだらかな上がりになっていた。	傾斜の度合いがゆるやかなさま。
V0000287922	屋根は鋭い角度で傾斜している。	やねはするどいかくどでけいしゃしている 
V0000287923	その土地は川に向かって緩やかに傾斜している。	そのとちはかわにむかってゆるやかにけいしゃしている 
V0000287924	騒々しい音楽を聞くとフレッドは頭にくるんだ。	そうぞうしいおんがくをきくとフレッドはあたまにくるんだ 
V0000287925	私は騒々しいクラスで声が通らなかった。	【そうぞうしい】 物音や人声が多くてうるさい。さわがしい。
V0000287926	ためらうものは失敗する。	あれこれ考えて迷う。決心がつかずにぐずぐずする。
V0000287927	彼は帰宅しようか居残って仕事を続けようかためらった。	かれはきたくしようかいのこってしごとをつづけようかためらった 
V0000287928	ためらうことなく、その陰謀にたいする徹底した対抗処置をとった。	ためらうことなく、そのいんぼうにたいするていこうしたたいこうしょちをとった 
V0000287929	記者達は個人の生活を侵害することにためらいを感じない。	きしゃたちはこじんのせいかつをしんがいすることにためらいをかんじない 
V0000287930	その薬は彼に不思議なほどよく効いた。	ちょうどよいくらいに。
V0000287931	列車のコンパートメントはすぐ窮屈になる。	れっしゃのコンパートメントはすぐきゅうくつになる 
V0000287932	非の打ち所がない計画は、窮屈だなあ。	ひのうちどころがないけいかくは、きゅうくつだなあ 
V0000287933	父は若いころ車を買うゆとりもなかった。	物事に余裕があり窮屈でないこと。余裕。
V0000287934	隊長は部下に直ちに集合するように命令した。	たいちょうはぶかにただちにしゅうごうするようにめいれいした 
V0000287935	この研究は各国の移民政策を比較するものである。	このけんきゅうはかっこくのいみんせいさくをひかくするものである 
V0000287936	委員会は、大気汚染を抑制するために互いに協力し合うよう各国に要請した。	いいんかいは、たいきおせんをよくせいするためにたがいにきょうりょくしあうようかっこくにようせいした 
V0000287937	私は彼の終わりのない説教にうんざりした。	わたしはかれのおわりのないせっきょうにうんざりした 
V0000287938	彼女の悲しみは無言でこぼす涙になって表れた。	かのじょのかなしみはむごんでこぼすなみだになってあらわれる 
V0000287939	彼女は叫びながら、ナイフを振り回しました。	かのじょはさけびながら、ナイフをふりまわした 
V0000287940	そのように刃物を振り回すことは危険だ。	手や手に持った物などを、勢いよく振ったり回したりする。
V0000287941	彼女は非常に美人だったので、彼女が通り過ぎると誰でも振り向いたものです。	かのじょはひじょうにびじんだったので、かのじょがとおりすぎるとだれでもふりむいたものです 
V0000287942	立ち去るおまえを俺は振り向くことができなかった。	【ふりむく】 顔やからだを後方へ向ける。振り返って見る。
V0000287943	キング牧師は首を撃たれ、後方に倒れた。	キングぼくしはくびをうたれ、こうほうにたおれた 
V0000287944	彼は僕の方を振り向くとニヤリと笑った。	声を出さないでちょっと笑いを浮かべるさま。
V0000287945	薬屋はこの道の突き当たりにあります。	くすりやはこのみちのつきあたりにあります 
V0000287946	彼女は大勢の少年たちに凝視されているのを意識していたと思う。	かのじょはおおぜいのしょうねんたちにぎょうしされているのをいしきしていたとおもう 
V0000287947	人をじっと見つめるのは無礼である。	【みつめる】 対象から目をそらさずにじっと見つづける。凝視する。
V0000287948	両者の利害の調整を図りつつ、国際的視野に立った人口政策を考えていかなければならない。	りょうしゃのりがいのちょうせいをはかりつつ、こくさいてきしやにたったじんこうせいさくをかんがえていかなければならない 
V0000287949	その著名な詩人は自分の書斎で自殺を図ろうとした。	そのちょめいなしじんはじぶんのしょさいでじさつをはかろうとした 
V0000287950	聴衆は一斉に立ち上がって拍手喝采した。	ちょうしゅうはいっせいにたちあがってはくしゅかっさいした 
V0000287951	欠点があるからそれだけよけいに彼を愛している。	普通より分量の多いこと。程度が上なこと。たくさん。
V0000287952	私はくだらない議論に巻き込まれた。	まじめに取り合うだけの価値がない。程度が低くてばからしい。くだらぬ。くだらん。
V0000287953	生徒たちはくだらない質問で先生を困らせた。	せいとたちはくだらないしつもんでせんせいをこまらせた 
V0000287954	自分の友達の悪口を言うなんてみっともないぞ。	見た目にわるい。体裁がわるい。
V0000287955	彼女は彼の紳士らしい体裁にだまされてしまった。	かのじょはかれのしんしらしいていさいにだまされてしまった 
V0000287956	一部の病院は幼児用ミルクの無料見本を配布する。	いちぶのびょういんはようじようミルクのむりょうみほんをはいふする 
V0000287957	にわかに雨が降ってきた。	物事が急に起こるさま。突然。
V0000287958	私たちの惑星は飛ぶ鳥の気軽さで宇宙を動いている。	わたしたちのわくせいはとぶとりのきがるさでうちゅうをうごいている 
V0000287959	万が一に備えて、武器になるものを探した。	まんがいちにそなえて、ぶきになるものをさがした 
V0000287960	昨秋は晴天続きだった。	さくしゅうはせいてんつづきだった 
V0000287961	真っ赤な夕焼けは明日の晴天を告げた。	まっかなゆうやけはあしたのせいてんをつげた 
V0000287962	しびれを切らして借金の催促をした。	しびれをきらしてしゃっきんのさいそくをした 
V0000287963	催促がましくて恐縮ですが、先日お貸ししたお金を返していただけませんか。	さいそくがましくてきょうしゅくですが、せんじつおかししたおかねをかえしていただけませんか 
V0000287964	その電線に触るとしびれるよ。	電気などを感じてびりびりふるえる。
V0000287965	正座して足がしびれる。	体の一部または全体の感覚が失われ、自由がきかなくなる。
V0000287966	通りですれ違った時私をわざと無視した。	とおりですれちがったときわたしをわざとむしした 
V0000287967	彼の言うことすべてが、私の神経を逆なでするのです。	かれのいうことすべてが、わたしのしんけいをさかなでするのです 
V0000287968	鯨は魚ではなくて哺乳類である。	くじらはさかなではなくてほにゅうるいである 
V0000287969	爬虫類が大嫌い。	はちゅうるいがだいきらい 
V0000287970	与党の首脳たちは政治改革法案で知恵をしぼっています。	よとうのしゅのうたちはせいじかいかくほうあんでちえをしぼっています 
V0000287971	もう少し脳味噌をしぼって考えろ。	もうすこしのうみそをしぼってかんがえる 
V0000287972	支配人が不在の時は彼女が業務を管理する。	しはいにんがふざいのときはかのじょがぎょうむをしょりする 
V0000287973	彼をはるばる訪ねて行ったがあいにく不在だった。	遠く離れているさま。遠くから、または遠くへ物事の及ぶさま。はるかに。
V0000287974	群集がひとりでに集まり始めた。	他からの力は加わっていないはずなのに、自然に。おのずから。
V0000287975	蝋燭は独りでに消えた。	ろうそくはひとりでにきえた 
V0000287976	油断なく注意さえしておれば好機はおのずから生まれる。	そのもの自体の力、成り行きに基づくさま。自然に。ひとりでに。おのずと。
V0000287977	その問題はおのずと解決するだろう。	ひとりでに。おのずから。
V0000287978	過去を志向する社会では、人々は過去と伝統にいつまでもこだわり続ける。	かこをしこうするしゃかいでは、ひとびとはかことでんとうにいつもこだわりつづける 
V0000287979	こだわりはお客に伝わってこそ意味をなす。	こだわりはおきゃくにつたわってこそいみをなす 
V0000287980	彼女の問題についての説明は、結局意味をなさなかった。	かのじょのもんだいについてのせつめいは、けっきょくいみをなさなかった 
V0000287981	子供は積み木で遊ぶ。	こどもはつみきであそぶ 
V0000287982	人柄がにじみ出ている。	ひとがらがにじみでている 
V0000287983	臆病な鼓動とともに血はにじみ続ける。	おくびょうなこどうとともにちはにじみつづける 
V0000287984	汗がじわじわとにじみ出る	液体が少しずつしみ込むさま。また、にじみ出るさま。
V0000287985	借金がじわじわと増える	物事がゆっくりと確実に進行するさま。
V0000287986	わたしたちは、さんざんふざけていたから、そろそろ仕事にとりかかる時だ。	物事の程度が著しいさま。
V0000287987	あのいたずらっ子はさんざんたたいてやる必要がある。	人の迷惑になることをすること。悪ふざけ。
V0000287988	敵は戦場からちりぢりに逃げ去った。	まとまっていたものがはなればなれになるさま。ばらばら。
V0000287989	どっちみち私は彼は好きではない。	どういうふうにしても、結局はある状態になることを表す。どちらにしても。いずれにしても。どのみち。
V0000287990	この辞書は簡約版だ。	このじしょはかんやくばんだ 
V0000287991	彼も大人になって、物事を総合的な視野で見られるようになった。	かれもおとなになって、ものごとをそうごうてきなしやでみられるようになった 
V0000287992	工業区と商業区が一体となった総合的な開発区を目指しております。	こうぎょうくとしょうぎょうくがいったいになったそうごうてきなかいはつくをめざしております 
V0000287993	えっへんと大いばりでアリスは胸を張った。	"えっへんとおおおばりであるすはむねをはった 
V0000287994	今引き返すには遅すぎる。	もとへ戻ること。
V0000287995	町は見渡す限りの焼け野原であった。	まちはみわたすかぎりのやけのはらであった 
V0000287996	何年か前には、結核にかかっていると知らされることは死の宣告を聞くのに等しかった。	なんねんかまえには、けっかくにかかっているとしらされることはしのせんこくときくのにひとしかった 
V0000287997	彼女は、美術学校を出ただけあって、絵が上手です。	～から、なるほど　　～から確かに　　～だけに
V0000287998	その店は料理もサービスも素晴らしかった。さすが評判のレストランだけのことはある。	たしかに～からだ
V0000287999	一連の爆発で、その研究施設は瓦礫の山と化した。	いちれんのばくはつで、そのけんきゅうしせつはがれきのやまとかした 
V0000288000	案ずるより生むが易し。	あんずるよりうむがやすし 
V0000288001	彼女の目つきは陰気になった。	かのじょのめつきはいんきになった 
V0000288002	君の写真を申込書に添付することを忘れないでね。	きみのしゃしんをもうしこみしょにてんぷすることをわすれないでね 
V0000288003	上司に相談してからでないと、お返事できません。	先に～しないと　　まず～しなければ
V0000288004	本当に困ったときにこそ助け合うのが友情というものだ。	まさに～だ。
V0000288005	どんなこともお金で解決できる、というものではない。	必ずしも～ない　　～わけではない
V0000288006	この国の経済はよくなるどころか、ますます悪くなっている。	～ではなく、まったく反対に
V0000288007	忙しくて、旅行するどころか、テレビを見る暇さえない。	～はもちろん
V0000288008	忙しくてテレビを見る暇もないのだから、旅行どころではない。	全然～できない　　～は、とんでもない
V0000288009	小説を書いても、おもしろくないことには売れませんよ。	～なければ　　～ないと
V0000288010	ストレスがたまったときは、酒を飲まないではいられない。	～しないことは難しい　　～したい気持ちが抑えられない
V0000288011	卒業にあたって、クラスのアルバムを作った。	～（の）とき　　～（の）際　　～にあたり
V0000288012	優勝チームは、体の大きさにかけても作戦のうまさにかけても素晴らしいチームだ。	～についていうと　　～の点で
V0000288013	英語のできない社長にかわって、部長が電話に出た。	（人の）代理に
V0000288014	木の机にかわり、プラスチックの机が多く使用されるようになった。	（物の）代用に
V0000288015	卒業式に際して、市長からを祝いの言葉が卒業生に送られた。	～の時に　　～の場合に
V0000288016	「医者になって欲しい。」という親の期待にこたえて、彼は医者になった。	～に会うように
V0000288017	南に行くにしたがって、気温が高くなる。	～とともなう　　～につれて　　～にともなって　　～と一緒に
V0000288018	弟にしたら、私のようなうるさい姉の存在は、いやでたまらないだろう。	～の立場では　　～にとって　　～からすれば　　～から見れば
V0000288019	彼は有能であるから、その選挙で当選するに相違ない。	【にそういない】 ～に違いない　　きっと～だ
V0000288020	冷房中につき、ドアをお閉めください。	～なので
V0000288021	祖母が編んだセーターを見るにつけ、やさしかった祖母を思い出す。	～ときは、いつも　　～ときも、～ときも
V0000288022	彼は何事につけても全力で取り組むので、評判がいい。	～に関して
V0000288023	水不足は農業にとっての大問題である。	～から見た
V0000288024	両親の期待に反して女の子が生まれた。	～に違って
V0000288025	この活動はボランティアによって支えられている。	～で
V0000288026	たいてい遅く帰宅しますが、日によっては６時ごろ帰れる場合もあります。	ある～の場合は
V0000288027	台風による農作物の被害が全国に広がっている。	～で　　～が原因である
V0000288028	明け方近くは冷え込む。	あけがたちかくはひえこむ 
V0000288029	友達によれば、今日の明け方、地震があったそうだ。	～の話では
V0000288030	首相をぬきにしては会議が始められないので、首相が見えるまで待ちましょう。	～なしで
V0000288031	これ、あなたが作ったケーキですか。お世辞ぬきにおいしいです。	～なしに
V0000288032	アルコールぬきのパーティーなんて、つまらないなあ。	～なしの
V0000288033	困難にあっても最後までやりぬく気持ちを捨てないで、がんばりなさい。	完全に～する　　最後まで～する
V0000288034	激しい戦いの末に、５７対５８で私のチームが優勝した。	【のすえに】 ～の結果　　～の後で、とうとう・やっと・ついに
V0000288035	「開放」という美しい言葉のもとに戦争が繰り返される。	～の下で
V0000288036	最近は人間ばかりか猫さえも美容院に行くそうだ。	～だけでなく　　～のみならず　　～ばかりでなく
V0000288037	社内のスキャンダルを話したばかりに会社を首になった。	～だけの理由で・原因で
V0000288038	あの食堂の料理は、味はともかくとして、量が多いので人気があるんだ。	～は今問題にしないが　　～はともかく
V0000288039	国が違うと、言葉と文化はもちろん、人々の考え方まで違う。	～だけでなく（～も）　　～に限らず
V0000288040	彼のサッカー選手としての人気は国内はもとより、広く海外でも高まっている。	～だけでなく（～も）　　～はもちろん（～も）
V0000288041	生活は豊かになったが、その反面、公害で病気になる人が増えた。	～と別の面では
V0000288042	母に言うと心配するから、このことは母に言うまい。	つもりはない　　～（し）ないつもりだ　　～（し）ない
V0000288043	この病気で死ぬまいと思うが、念のため医者に診てもらおう。	いっそう注意するため。確認のため。
V0000288044	彼は帰国したのではあるまいか、最近ずっと顔を見ていない。	～ないだろう
V0000288045	猫が死んだことを子供に言おうか言うまいか迷った。	～するか、しないか
V0000288046	行けるものなら、ヨーロッパへ行ってみたい。でも、僕お金ないし、無理かな。	もし～できたら
